剧本ID,剧本文件名,剧目名称,剧目别名,全本出处,是否折子戏,时代背景,主题分类,选材来源,具体来源,剧本形态,主要行当,角色-行当映射,主角,地点,主要唱腔声腔,主要板式,唱法备注,剧情简介,备注
hanju_0111,大回朝.pdf,大回朝,,封神榜,是,商周,权斗；征战；讽世,历史演义；民间传说,明·许仲琳《封神演义》相关情节,整理本,二净；十杂；五丑,闻仲（二净）；纣王（十杂）；费仲（五丑）；尤浑（五丑）,闻仲,朝歌,二黄；西皮,导板；二流；数板,满台唱吹腔《朝阳歌》，龙套和之,闻仲征北海得胜回朝，见纣王宠妲己、造炮烙虿盆、害比干姜后、逼反黄家父子，力谏无果，怒打奸臣费仲尤浑，决意去五关搬黄家兵谏。,文件夹: 商周 | 页数: 8
hanju_0112,太极图.pdf,太极图,,封神榜,是,商周,征战；权斗；神魔,历史演义；民间传说；神话宗教,明·许仲琳《封神演义》相关回目,整理记录本,三生；一末；二净；七小；五丑；六外；八贴；九夫；十杂；四旦,赤精子（三生）；姜子牙（一末）；殷洪（二净）；杨戬（七小）；慈航道人（五丑）；黄飞虎（六外）；苏护（三生）；庞弘（六外）；准提佛（九夫代）；杨戬化身（彩旦代）；马元（十杂）；殷洪化身（四旦代）；木吒（七小）；金吒（五丑）；哪吒（八贴代）；申公豹（五丑）,殷洪,太华山；周营；摩石崖,二黄,二流散板；慢二流原板；导板；原板,有引子、诗、念白等,赤精子命弟子殷洪下山助周伐纣，殷洪途中受申公豹蛊惑反投殷商，与姜子牙为敌。申公豹请马元相助，子牙失利。准提佛收服马元，慈航道人借太极图将违誓的殷洪化为飞灰。,文件夹: 商周 | 页数: 18
hanju_0113,子期听琴.pdf,子期听琴,,,否,春秋,求贤；孝义,历史演义；民间传说,,整理本,三生；一末；娃娃生,俞伯牙（三生）；钟子期（一末）；琴童（娃娃生）,俞伯牙；钟子期,汉邑马鞍山,西皮,慢板；摇板；一字板,,晋国大夫俞伯牙赴楚修聘，中秋夜泊舟马鞍山下，抚琴自乐。樵夫钟子期闻声窃听，伯牙邀其登舟共论琴律，引为知己，结为兄弟，相约明年中秋再会。,文件夹: 商周 | 页数: 10
hanju_0114,子期归天.pdf,子期归天,子期冒雨归,,是,春秋,孝义,民间传说,,整理本,一末；九夫,钟子期（一末）；钟元甫（一末）；钟母（九夫）,钟子期,马鞍山,二黄,摇板；导板；二流,,钟子期与俞伯牙马鞍山别后，冒雨还家，因染重病不治而亡。临终前向父母交代后事，嘱托葬于马鞍山，以便俞瑞访查。,文件夹: 商周 | 页数: 4
hanju_0115,度白简.pdf,度白简,,,否,战国,求贤；神魔,民间传说；戏曲传统,,整理本,三生；一末；七小；十杂；六外；贴末,庄周（三生）；白简（一末）；张从（七小）；李荣（贴末）；强盗甲（十杂）；强盗乙（六外）,庄周；白简,南华,二黄；平板,二流；导板,有引子、诗、念白等,庄周下山途中救活被强盗杀死的张从，反被诬告至南华县。庄周在县令白简面前将张从还原白骨，并度化白简出家修仙。,文件夹: 商周 | 页数: 20
hanju_0116,急子回国.pdf,急子回国,二子乘舟,,是,春秋,权斗；孝义；情爱,历史演义；民间传说,《左传·桓公十六年》及《诗经·邶风·二子乘舟》,整理本,二净；四旦；三生；七小；五丑；一末；十杂,卫宣公（二净）；宣姜（四旦）；急子（三生）；子寿（七小）；子朔（五丑）；左公子泄（一末）；右公子职（三生）；万能（十杂）,急子,卫国；莘野,西皮,导板；慢西皮；慢板；二流；散板,有哭头、扎下句等,急子私自回国，得知母死父纳其妻宣姜，忍辱进宫。子朔进谗，卫宣公命急子赴齐，暗遣子朔埋伏莘野截杀。子寿盗旄代死，急子醒后赶至，见弟已亡，愤而自刎。宣姜亦自刎于宣公面前。,文件夹: 商周 | 页数: 36
hanju_0117,战樊城.pdf,战樊城,下家书,伍子胥,是,春秋,复仇；权斗；孝义,历史演义；戏曲传统,,整理本,三生；六外；一末；二净；十杂；九夫；七小；五丑,伍员（三生）；伍尚（六外）；伍奢（一末）；费无极（二净）；武城黑（十杂）；伍太君（九夫）；家将（七小）；下书人（五丑）,伍员,樊城；郢都,西皮,散板；垛子；摇板；快板；一字板；导板,,伍员、伍尚镇守樊城，接父伍奢家书召其回京加官。伍员疑有诈，伍尚独返。伍尚至京，父子被奸相费无极陷害斩首，满门抄斩。伍员闻讯兴兵复仇，与楚将武城黑交战，战败后由养由基暗箭射死武城黑，伍员脱身。,文件夹: 商周 | 页数: 14
hanju_0118,打芦花.pdf,打芦花,单衣顺亲；鞭打芦花,,否,春秋时期,孝义,民间传说,传统民间传说“二十四孝”之一,整理本,六外；四旦；七小；一末；九夫,闵嗣翁（六外）；李氏（四旦）；闵损（七小）；闵华（七小）；李公（一末）；李婆（九夫）,闵损,,四平；二黄；西皮,慢板；二流；倒板；摇板,有引子、诗、哭头等念白形式,闵损继母李氏用芦花为其做棉衣，亲生子则用丝绵。闵父发现后欲休妻，闵损跪求父亲留下继母，以保全家庭和睦，终感动继母与父亲，全家团圆。,文件夹: 商周 | 页数: 28
hanju_0119,扳瑶琴.pdf,扳瑶琴,扳琴；碎琴,,是,春秋,孝义；情爱,历史演义；民间传说,,整理本,三生；一末；娃娃生,俞伯牙（三生）；钟元甫（一末）；童儿（娃娃生）,俞伯牙,汉邑马鞍山,二黄,三眼；二流；摇板,有引子、诗、哭头、狗血等念白形式,晋大夫俞伯牙赴约中秋，再访马鞍山寻知音钟子期，遇其父钟元甫，方知子期已忧思成疾而亡。伯牙携琴至坟前祭奠，悲恸中扳碎瑶琴，誓不再弹，并赠金赡养其父母。,文件夹: 商周 | 页数: 10
hanju_0120,挡幽王.pdf,挡幽王,,,否,西周,权斗,历史演义,,整理本,三生；二净；四旦,申侯（三生）；周幽王（二净）；褒姒（四旦）,申侯,骊山,西皮,慢垛子；导板；一字板,,犬戎入侵，周幽王与褒姒逃至骊山，被申侯阻拦。申侯斥责其十大罪恶，幽王与褒姒哀求，申侯终放其逃走。,文件夹: 商周 | 页数: 6
hanju_0121,搜孤救孤.pdf,搜孤救孤,,八义图,是,春秋,孝义；复仇,历史演义；戏曲传统,元·纪君祥《赵氏孤儿》,整理本,一末；六外；八贴；十杂,公孙杵臼（一末）；程婴（六外）；程妻（八贴）；屠岸贾（十杂）,程婴,晋国,二黄；西皮,摇板；慢板；一字板；二流,,晋景公时，屠岸贾残害赵盾全家，赵朔之妻庄姬将孤儿赵武藏于宫中。程婴与公孙杵臼定计，程婴舍子、公孙杵臼舍命，程婴假意告发，屠岸贾杀死程子与公孙杵臼，孤儿得以保全。,文件夹: 商周 | 页数: 20
hanju_0122,文昭关.pdf,文昭关,,伍子胥,是,春秋,复仇；孝义；求贤,历史演义；戏曲传统,,整理本,一末；三生；十杂,东皋公（一末）；伍员（三生）；皇甫讷（三生）；米南洼（十杂）,伍员,昭关,西皮；二黄,慢板；二流；摇板；导板；一字板,有引子、诗、哭头等念白形式,伍员全家被楚平王所害，逃至昭关被阻，得隐士东皋公藏于后园。因焦虑一夜须发皆白，东皋公使友人皇甫讷乔扮伍员出关被擒，伍员趁机混出昭关，前往吴国借兵报仇。,文件夹: 商周 | 页数: 16
hanju_0123,文王吐子.pdf,文王吐子,,封神榜,是,商周,孝义；权斗；神魔,历史演义；民间传说；神话宗教,明·许仲琳《封神演义》,整理本,一末；三生；二净；六外,姬昌（一末）；姬发（三生）；雷震子（二净）；散宜生（六外）；南宫适（二净）；黄飞虎（六外）；云中子（三生）,姬昌,羑里；西岐；朝歌,西皮,导板；慢板；散板；一字板,有引子、诗、哭头等念白形式,西伯侯姬昌被纣王囚于羑里，长子伯邑考被害并被做成肉饼逼姬昌吞食。散宜生设计贿赂费仲、尤浑使姬昌获释，黄飞虎助其连夜出逃。纣王派兵追赶，雷震子奉师命救父回西岐，姬昌悲愤呕出子肉。,文件夹: 商周 | 页数: 20
hanju_0124,斩三妖.pdf,斩三妖,,封神榜,是,商周,神魔;征战;复仇,古典文学;民间传说,明·许仲琳《封神演义》,整理本,四旦;二净;一末;九夫;八贴;七小;十杂,苏妲己（四旦）；商纣王（二净）；姜子牙（一末）；女娲圣母（九夫）；九头雉鸡精（八贴）；玉石琵琶精（八贴）；哪吒（七小）；韦护（七小）；杨戬（七小）；雷震子（十杂）,苏妲己,朝歌,西皮,慢板;摇板;快板;导板;垛子,有引子、诗、念白等形式,周武王兵围朝歌，姜子牙率众将讨战。商纣王无力对敌，妲己、琵琶精、雉鸡精出战，姜子牙众将不敌。后在女娲圣母帮助下擒获三妖，妲己斩而不死，姜尚请来陆压道人用鹅毛宝刀斩之。,文件夹: 商周 | 页数: 20
hanju_0125,杨戬打刀.pdf,杨戬打刀,毛国贞打铁,,否,商周,孝义；讽世,民间传说；戏曲传统,,整理本,五丑；八贴；七小；九夫；十杂,毛国贞（五丑）；毛妻（八贴）；杨戬（七小）；妖怪（九夫）；牛魔王（十杂）；假拐李（五丑）；铁匠（五丑）,毛国贞；杨戬,煤山,二黄,摇板；原板；二流,,铁匠毛国贞因招牌自称“件件皆通”，二郎神杨戬前来打三尖两面七星八卦九扣连环刀救母。毛国贞夫妇百般刁难，先后索要金炭、牛魔金角、百两银子和百年期限，杨戬一一办到并限三天交刀。毛国贞无奈求炉头祖师相助，终将刀打成。,文件夹: 商周 | 页数: 18
hanju_0126,桃木剑.pdf,桃木剑,,封神榜,是,商周,神魔；权斗,古典文学；民间传说,明·许仲琳《封神演义》相关情节,整理本,三生；二净；四旦,云中子（三生）；纣王（二净）；妲己（四旦）,云中子,朝歌,西皮,慢板；垛子；摇板；一字板；导板,,道士云中子见妖风知是狐妖妲己乱商，往朝歌献桃木剑于纣王，嘱悬宫门斩妖。妲己诈病惑纣王，焚毁桃木剑，云中子除妖未果。,文件夹: 商周 | 页数: 8
hanju_0127,桑园逼封.pdf,桑园逼封,,钟无盐,是,战国,求贤;权斗,历史演义;民间传说,汉·刘向《列女传》;元·郑光祖《丑齐后无艳连环》,整理本,二净;一末;跷旦,齐宣王（二净）;晏平仲（一末）;钟离春（跷旦）,钟离春,齐都;桑园,二黄,摇板;二流;平板,,齐宣王夜梦金钟托梁，晏平仲圆梦为吉兆，劝其郊外射猎访贤。宣王追白兔至桑园，遇丑女钟离春。离春以才学对答，逼宣王封其为正宫，并以蓝田玉带为聘，枣木梳为回聘，约定五月五日迎娶。,文件夹: 商周 | 页数: 22
hanju_0128,楚皇宫.pdf,楚皇宫,楚宫抚琴,,是,春秋战国,权斗；孝义；情爱,历史演义；民间传说,,整理本,四旦；五丑；七小,无祥公主（四旦）；楚平王（五丑）；芊建（七小）,无祥公主,楚皇宫,西皮,散板；数板；摇板；慢板；垛子,,楚平王强纳其子芊建之妻无祥公主为妃。一日平王外出，无祥在宫中抚琴，太子芊建前来问安，两人互诉衷肠，约定平王死后成婚，并以九龙玉环为信。平王回宫撞见芊建，责问无祥，无祥反责平王父纳子妻，欲碰宫寻死，平王只得赔礼了事。,文件夹: 商周 | 页数: 14
hanju_0129,武昭关.pdf,武昭关,,伍子胥,是,春秋,征战；孝义,历史演义；戏曲传统,,整理本,三生；四旦；十杂,伍员（三生）；马昭仪（四旦）；卞庄（十杂）,伍员,郑国；鱼禅寺,二黄；西皮,导板；二流；散板,有导板、二流、散板等板式,伍员保马昭仪母子逃出郑国，被卞庄围困于鱼禅寺。马昭仪将幼主托付伍员后跳井自尽，伍员怀抱孤儿突围而去。,文件夹: 商周 | 页数: 6
hanju_0130,武王伐纣.pdf,武王伐纣,,封神榜,是,商周,征战;孝义;求贤,历史演义;民间传说,,整理本,七小;一末;六外;三生,周武王（七小）；姜子牙（一末）；伯夷（六外）；叔齐（三生）,周武王,首阳山;朝歌;西岐,西皮,慢板;摇板,,周武王奉父王遗诏伐纣，伯夷、叔齐拦马阻谏，以臣不可伐君为由。姜子牙细数纣王罪状，武王决意出兵，伯夷、叔齐无奈退回首阳山。,文件夹: 商周 | 页数: 10
hanju_0131,浣纱河.pdf,浣纱河,,伍子胥,是,春秋,复仇；孝义,历史演义；民间传说,,整理本,三生；五丑；四旦,伍员（三生）；渔翁（五丑）；马玉娥（四旦）,伍员,界河；沙河,西皮,一字板；摇板；散板,,伍员逃出昭关，途经界河得渔翁引渡，因担心追兵走漏消息折返嘱咐，渔翁受辱投水。行至沙河，浣纱女马玉娥周济饭食，伍员再次叮嘱，马玉娥为明心迹投水自尽。,文件夹: 商周 | 页数: 8
hanju_0132,清河桥.pdf,清河桥,,,是,春秋,征战；权斗,历史演义；戏曲传统,,整理本,三生；二净；十杂；七小,楚庄王（三生）；斗越椒（二净）；斗贲皇（十杂）；养由基（七小）,养由基,郢都；清河桥,西皮,垛子；一字；摇板；慢西皮,,春秋时，楚庄王平陆浑之乱，佞臣斗越椒趁机造反。庄王归国途中被越椒父子挡道，兵败后出榜招贤。勇士养由基应征，屡败叛军，最终在清河桥比箭射死斗越椒，平定叛乱。,文件夹: 商周 | 页数: 16
hanju_0133,渭水河.pdf,渭水河,文王访贤,封神榜,是,商周,求贤,历史演义;民间传说,宋元《武王伐纣平话》,整理本,三生;一末;五丑;十杂,姬昌（三生）；散宜生（三生）；姜子牙（一末）；清风（五丑）；明月（十杂）；武吉（五丑）,姬昌;姜子牙,西岐;渭水河,二黄;西皮,二黄三眼;二流;西皮导板;慢西皮;西皮摇板;快板;撩子,有引子、诗、赞子、渔歌等念白形式,周文王姬昌夜梦飞熊入帐，散宜生圆梦为得贤臣之兆。文王郊外围猎，遇武吉引见渭水河边直钩垂钓的姜子牙。二人相谈甚欢，文王筑台拜姜子牙为帅，共图灭商大业。,文件夹: 商周 | 页数: 12
hanju_0134,湘江会.pdf,湘江会,,钟无盐,是,战国,权斗；征战,历史演义；民间传说,,整理本,五丑；跷旦；七小；一末；十杂；六外,齐宣王（五丑）；钟无盐（跷旦）；田伦（七小）；管氏（跷旦）；魏王（一末）；吴起（十杂）；孙操（六外）；姬燕（十杂）,钟无盐,湘江,西皮,快板；摇板；导板；慢板；一字板；垛子,有引子、诗、念白等,魏王设宴湘江邀齐宣王赴会，暗伏吴起等欲害之。齐后钟无盐识破计谋，陪王赴会。席间钟无盐先与吴起比箭，乘隙射死魏王，继而激战吴起，保护齐宣王脱险。,文件夹: 商周 | 页数: 14
hanju_0135,火烧琵琶精.pdf,火烧琵琶精,,封神榜,是,商周,神魔；权斗；复仇,古典文学；民间传说,明·许仲琳《封神演义》第十六回至第十七回,整理本,一末；八贴；五丑；二净,姜子牙（一末）；琵琶精（八贴）；地保（五丑）；比干（一末）；纣王（二净）；妲己（八贴）,姜子牙,朝歌,西皮,慢西皮；西皮摇板；小导板,,姜子牙在朝歌开卦棚，琵琶精前来试探，被子牙识破并打倒在地。地保报官，比干带子牙上殿面君。子牙当殿火烧琵琶精现出原形，并献坤木剑除妖。妲己怀恨在心，假装患病进谗言欲害子牙，子牙遁去。,文件夹: 商周 | 页数: 10
hanju_0136,焚绵山.pdf,焚绵山,,,是,春秋,孝义；求贤；讽世,历史演义；民间传说,,整理本,三生；一末；九夫；十杂；六外,介子推（三生）；解张（一末）；介母（九夫）；晋文公（三生）；魏犨（十杂）；颠颉（六外）,介子推,绵山,西皮,慢板；导板；二流；散板,有引子、诗、扎下句等,春秋时，介子推随晋文公重耳流亡十九年，有割股之功。文公还国行赏，子推耻于争功，携母隐居绵山。文公寻访不得，听解张之言火烧绵山逼其出，子推宁死不出，母子被烧死。,文件夹: 商周 | 页数: 10
hanju_0137,牛脾山.pdf,牛脾山,掘地见母；孝感天,,否,春秋,孝义；权斗,历史演义；古典文学,《左传》；《东周列国志》第四回,整理本,一末；三生；七小；九夫；六外；二净,颖考叔（一末）；寤生（三生）；太叔段（七小）；姜氏（九夫）；祭足（六外）；公子吕（二净）,寤生,荥阳；京城；牛脾山,西皮,导板；一字板,,郑庄公寤生因母姜氏偏爱弟太叔段，母子反目，发誓不及黄泉不相见。颍考叔以枭鸟讽谏，献计掘地见母，终使母子团圆。,文件夹: 商周 | 页数: 32
hanju_0138,王翦探营.pdf,王翦探营,,列国戏,是,战国,征战,历史演义,,整理本,二净；十杂,王翦（二净）；袁达（十杂）,王翦,燕国,二黄,导板；二流；摇板；二流原板；马蹄调；二黄三眼,包含导板、二流、摇板、原板、马蹄调、三眼等多种板式,秦王命王翦伐燕，王翦巡营防范偷袭。燕将袁达奉孙百灵锦囊计行刺，被王翦察觉，交战不敌，依计逃往赵国，王翦收兵不追。,文件夹: 商周 | 页数: 6
hanju_0139,碧游宫.pdf,碧游宫,,封神榜,是,商周,征战；神魔；复仇,古典文学；民间传说,明·许仲琳《封神演义》相关回目,整理本,六外；十杂；七小；五丑；四旦；一末；三生；二净；跷旦,胡升（六外）；胡雷（十杂）；洪锦（七小）；哪吒（五丑）；木吒（四旦）；金吒（七小）；姜子牙（一末）；龙吉公主（四旦）；火灵圣母（跷旦）；广成子（三生）；申公豹（二净）；惧留孙（五丑）；庞文（六外）,广成子,佳梦关；碧游宫,西皮,慢板；散板；一字板,有念白、诗、引子等,姜子牙率周营攻打佳梦关，胡雷九命屡斩不死，被龙吉公主用定海神针杀死。其师火灵圣母报仇，被广成子打现原形。广成子至碧游宫请罪，遭龟灵圣母阻拦，用翻天印将其打现原形，庞文大怒摆诛仙阵。,文件夹: 商周 | 页数: 20
hanju_0140,穷途吟.pdf,穷途吟,,,是,春秋,求贤;讽世,古典文学;历史演义,《论语·微子》,整理本,一末;二净;七小,荷筱丈人（一末）；仲由（二净）；长子（七小）；次子（七小）,仲由,南阳邺县,西皮;二黄,慢板;摇板,,子路随孔子周游列国，迷路遇隐士荷筱丈人，借宿其家。子路感叹奔波无成，深夜难眠，追忆往事。次日辞别，继续寻师。,文件夹: 商周 | 页数: 8
hanju_0141,草场会.pdf,草场会,,钟无盐,是,战国,征战；复仇；权斗,历史演义；民间传说,,整理本,十杂；一末；六外；七小；跷旦,吴起（十杂）；孙操（一末）；廉颇（六外）；姬燕（十杂）；田伦（七小）；管氏（跷旦）,吴起,草场；葭萌关,二黄；西皮,慢板；二流；倒板；摇板,有清水令、折桂令、步步娇、江儿水、雁儿落、收江南等曲牌,齐后钟无盐诈死，吴起趁机联合姬燕、廉颇、孙操在草场聚会，共谋伐齐。吴起夺得帅印，率军攻打葭萌关，擒获齐将田伦、管氏，齐国大败。,文件夹: 商周 | 页数: 12
hanju_0142,莲台收妃.pdf,莲台收妃,,莲台山,是,周代,征战；权斗；求贤,历史演义；民间传说,,整理本,三生；八贴；一末；七小；十杂,周穆王（三生）；苏银庄（八贴）；刘荣（一末）；刘玉（七小）；亚里寿（十杂）,苏银庄,莲台山；庆阳,西皮,散西皮；慢西皮；西皮导板；西皮摇板；西皮一字板；西皮慢垛子,全剧以西皮为主，无二黄,周穆王游猎莲台山，收苏银庄为后。北海国遣亚里寿携铁胎弓挑衅，称无人开弓即反。苏银庄扭断铁弓，斩杀亚里寿，保周室尊严。,文件夹: 商周 | 页数: 22
hanju_0143,豫让吞炭.pdf,豫让吞炭,豫让桥,,否,春秋战国,复仇；孝义；权斗,历史演义；古典文学,《战国策·赵策一》《史记·刺客列传》；元·杨梓《忠义士豫让吞炭》,整理本,三生；十杂；二净；五丑；七小；一末；六外；九夫；四旦,豫让（三生）；智瑶（十杂）；韩虎（二净）；魏驹（五丑）；赵无卹（七小）；张孟谈（一末）；智国（六外）；豫让母（九夫）；豫让妻（四旦）,豫让,晋阳,西皮,一字板；导板；摇板,有引子、诗、念白、叫头等,晋国智伯瑶被赵、韩、魏联合击败身亡，其家臣豫让为报知遇之恩，漆身吞炭，两次行刺赵襄子未遂。最终求得赵襄子衣服，击剑斩衣后自刎，留下“士为知己者死”的典故。,文件夹: 商周 | 页数: 28
hanju_0144,贾氏扇坟.pdf,贾氏扇坟,,蝴蝶梦,是,战国,讽世,古典文学;民间传说,明·冯梦龙《警世通言》第二卷《庄子休鼓盆成大道》,整理本,六外;八贴;九夫,庄周（六外）；贾氏（八贴）；大头鬼（九夫）,庄周;贾氏,荒郊,西皮,导板;慢板;散板;慢一字,有哭头,庄周修行得道，郊外见新坟旁有寡妇贾氏扇坟，问知因丈夫遗言坟干方可改嫁。庄周代扇干坟土，贾氏反复挑逗，庄周不为所动，收扇离去，归家后以此试探妻子田氏。,文件夹: 商周 | 页数: 8
hanju_0145,越椒逼印.pdf,越椒逼印,,,否,春秋,权斗；复仇,历史演义,,整理本,二净；十杂；一末；四旦；七小,斗越椒（二净）；斗贲皇（十杂）；艹为贾（一末）；夫人（四旦）；公子（七小）,斗越椒,郢都,西皮,一字板；垛子；撩子,,楚令尹斗越椒被摘兵符印信，移恨司马艹为贾。趁庄王征陆浑未归，假邀艹为贾赴宴强索兵符，艹为贾不允，越椒父子将其刺死，搜走印信，随后起兵拦截庄王归途。,文件夹: 商周 | 页数: 12
